"MI";"51004";"    Parecis";"3409";"3907";"3434";"3889";"3919";"4515";"5204";"3636";"3551";"5798";"5796";"5610";"6244";"4758";"6127";"6185";"6344";"6144";"6095";"5381";"7001";"6757"
"MU";"5102637";"      Campo Novo do Parecis";"3600";"3300";"3393";"4093";"4223";"4579";"5097";"3780";"3600";"5485";"5657";"5505";"6238";"4428";"6305";"6258";"6494";"6120";"6450";"5880";"6798";"7041"
"MU";"5102686";"      Campos de Júlio";"3000";"3900";"3960";"3802";"3822";"4807";"5796";"3000";"3589";"5933";"5975";"5859";"6509";"4800";"6459";"6516";"6463";"7200";"7200";"6000";"7920";"7500"
"MU";"5103304";"      Comodoro";"3600";"3000";"3000";"2400";"2400";"3600";"4300";"3000";"2700";"5400";"5100";"5100";"5700";"4500";"5700";"6000";"5700";"5500";"5700";"5100";"6600";"6300"
"MU";"5103502";"      Diamantino";"2637";"3400";"2700";"3601";"3600";"4620";"4680";"4320";"3420";"5870";"5691";"5289";"5792";"4198";"5696";"5693";"6036";"5520";"5400";"4380";"6540";"6212"
"MU";"5107875";"      Sapezal";"3607";"4200";"3603";"4268";"4306";"4319";"4800";"3500";"3598";"5975";"5953";"5794";"6490";"5676";"6174";"6450";"6723";"6840";"5760";"5850";"7500";"7200"
"MI";"51005";"    Arinos";"2563";"3253";"2815";"3054";"2953";"3459";"3609";"3075";"3618";"4769";"5294";"4201";"5251";"3488";"5782";"5272";"5902";"6061";"4864";"5810";"6730";"6488"
"MU";"5105101";"      Juara";"-";"1800";"-";"-";"-";"2800";"2700";"-";"-";"-";"4800";"4800";"4800";"3600";"5400";"4700";"6000";"5406";"4100";"5810";"6600";"6900"
"MU";"5108907";"      Nova Maringá";"2350";"2700";"2400";"3300";"3300";"3090";"2258";"2400";"3300";"4500";"4900";"3600";"4800";"2880";"5280";"5280";"5505";"5700";"4500";"5700";"6600";"6000"
"MU";"5106273";"      Novo Horizonte do Norte";"2700";"-";"1700";"-";"-";"2500";"-";"4200";"-";"-";"-";"4200";"4500";"3300";"5100";"4600";"6240";"6000";"4500";"5600";"6600";"6500"
"MU";"5106802";"      Porto dos Gaúchos";"3000";"3780";"2700";"2850";"2850";"3900";"-";"3200";"3800";"4200";"5580";"3800";"5400";"3600";"5880";"4900";"6240";"6600";"5400";"5900";"6960";"6900"
"MU";"5107305";"      São José do Rio Claro";"2400";"3000";"3072";"3197";"3300";"3908";"3816";"3600";"3300";"4500";"4800";"4200";"5100";"2700";"5400";"5100";"5400";"5700";"4800";"5700";"6300";"5700"
"MU";"5107941";"      Tabaporã";"2400";"3000";"3000";"3000";"2807";"3200";"2000";"3300";"3900";"5400";"5580";"4860";"5520";"4080";"6420";"5820";"6180";"6180";"4800";"5860";"6900";"6600"
"MI";"51006";"    Alto Teles Pires";"3672";"3411";"3201";"4004";"4029";"4173";"5266";"4388";"4205";"5885";"6299";"5439";"5832";"4130";"6706";"6103";"6290";"6514";"5271";"6487";"6982";"6990"
"MU";"5104526";"      Ipiranga do Norte";"...";"...";"2996";"3915";"3915";"3741";"4950";"3800";"4318";"5550";"6240";"5100";"5400";"4200";"5700";"5316";"6054";"6420";"4755";"6100";"7088";"6780"
"MU";"5104542";"      Itanhangá";"...";"...";"3000";"3296";"3300";"3600";"4200";"3200";"3750";"4200";"4500";"3900";"4800";"3000";"5100";"4800";"4080";"5400";"4500";"5900";"5880";"6000"
"MU";"5105259";"      Lucas do Rio Verde";"4200";"3311";"3619";"4051";"4051";"4303";"5865";"4800";"4447";"6594";"6695";"5392";"5397";"4797";"6893";"6370";"6290";"6720";"5280";"6450";"7125";"7020"
"MU";"5105903";"      Nobres";"3600";"4280";"3000";"3420";"3420";"4200";"4200";"4200";"3960";"4200";"4800";"4800";"4879";"3600";"5414";"4898";"4943";"5460";"4500";"5187";"5394";"5280"
"MU";"5106224";"      Nova Mutum";"3470";"3600";"2710";"4140";"4191";"4200";"3765";"4400";"3891";"6186";"6149";"5697";"5398";"4319";"6420";"5880";"6120";"6300";"5280";"6400";"7200";"7100"
"MU";"5106240";"      Nova Ubiratã";"3060";"3334";"3000";"3556";"3556";"4200";"5517";"4300";"4507";"5700";"6428";"5822";"5820";"3220";"7093";"6291";"6600";"6660";"5438";"6480";"7080";"7200"
"MU";"5107768";"      Santa Rita do Trivelato";"3600";"3400";"2198";"4000";"4000";"4156";"5411";"3660";"3600";"6180";"5880";"5400";"5100";"3240";"6300";"5403";"6180";"6120";"4500";"5700";"6720";"6600"
"MU";"5107925";"      Sorriso";"3312";"3300";"3025";"4200";"4200";"4202";"5333";"4600";"4210";"5700";"6422";"5400";"6600";"4339";"7258";"6600";"6777";"6840";"5666";"7080";"7140";"7320"
"MU";"5108006";"      Tapurah";"3120";"3600";"3360";"3600";"3600";"4325";"4956";"4000";"3898";"5625";"5985";"5098";"5098";"3899";"5999";"5698";"5548";"6300";"4725";"6100";"6600";"6450"
"MI";"51007";"    Sinop";"2599";"2987";"2835";"3123";"3109";"3891";"4193";"3626";"3946";"5279";"5925";"4854";"5777";"3638";"6188";"5947";"6190";"6223";"5175";"5965";"6944";"6987"
"MU";"5103056";"      Cláudia";"3000";"3000";"2400";"3000";"2781";"4000";"4200";"3300";"3900";"5281";"5703";"4200";"5705";"3060";"6300";"5880";"6120";"5880";"5280";"5940";"6900";"7020"
"MU";"5103700";"      Feliz Natal";"3180";"-";"4680";"3300";"3300";"3200";"4961";"3300";"4200";"5400";"6360";"5100";"5700";"3300";"6300";"5940";"6120";"6060";"4800";"5760";"6900";"7020"
"MU";"5104559";"      Itaúba";"2500";"2880";"2700";"2900";"2900";"3300";"2700";"3300";"4200";"4800";"4800";"4800";"5100";"3000";"5100";"4700";"6800";"6300";"4200";"5810";"6660";"6800"
"MU";"5105580";"      Marcelândia";"-";"2700";"1800";"-";"-";"4800";"3000";"3300";"3600";"4000";"5400";"3900";"5400";"3000";"5400";"4900";"4500";"6600";"4300";"5790";"6900";"6600"
"MU";"5106190";"      Nova Santa Helena";"-";"3000";"3000";"2700";"-";"3000";"-";"3600";"-";"4800";"4800";"4500";"4800";"3600";"5100";"4700";"6600";"5700";"4200";"5700";"6913";"6600"
"MU";"5107248";"      Santa Carmem";"2400";"3000";"3000";"3200";"3200";"4000";"5716";"3480";"3900";"5400";"5820";"4980";"5880";"4500";"6540";"6304";"6180";"6120";"5700";"6120";"7020";"7020"
"MU";"5107909";"      Sinop";"2640";"3000";"3000";"3200";"3200";"4200";"-";"4200";"3900";"5280";"5641";"4920";"6060";"4320";"6360";"6480";"6360";"6420";"5520";"6100";"7080";"7080"
"MU";"5108303";"      União do Sul";"3000";"2880";"3000";"2700";"2700";"3000";"2692";"1860";"4200";"4800";"4800";"4200";"5400";"3600";"5580";"4800";"6600";"6300";"5100";"5750";"6720";"7000"
"MU";"5108501";"      Vera";"2400";"3000";"2700";"3000";"3000";"3600";"2533";"3600";"3900";"5404";"6356";"5100";"5760";"3180";"6240";"6060";"6180";"6360";"5280";"6120";"7020";"7200"
